[05:19:40] [main/INFO]: Loading Minecraft 1.19.2 with Fabric Loader 0.16.3
[05:19:40] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.19.2
[05:19:40] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/BOSQUE-DEFINITIVO-ESTA-VEZ/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[05:19:45] [main/INFO]: Building unoptimized datafixer
[05:19:47] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:19:49] [main/INFO]: Loaded 7 recipes
[05:19:49] [main/INFO]: Loaded 1179 advancements
[05:19:51] [Server thread/INFO]: Starting minecraft server version 1.19.2
[05:19:51] [Server thread/INFO]: Loading properties
[05:19:51] [Server thread/INFO]: Default game type: SURVIVAL
[05:19:51] [Server thread/INFO]: Generating keypair
[05:19:52] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:19:52] [Server thread/INFO]: Using epoll channel type
[05:19:52] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:19:52] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:19:52] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:19:52] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:19:52] [Server thread/INFO]: Preparing level "world"
[05:20:12] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
